query_id,query_text,category,source,original_length,anonymized_length,pii_entities_detected,pii_count,token_count,anonymization_method,thematic_overlap_score,presidio_entities_supported
FORUM_0001,My mobile banking app keeps crashing when I try to view my transaction history. Error code E4429 appears. Is this a known issue?,technical_issues,forum_anonymized,128,128,[],0,29.900000000000002,microsoft_presidio_2.2.33,0.01394267984578837,50
FORUM_0002,"I can't log into online banking. It says 'session expired' immediately after login. Tried on Chrome, Firefox, and Safari. Been happening for 3 days.",technical_issues,forum_anonymized,148,148,[],0,31.200000000000003,microsoft_presidio_2.2.33,0.0,50
FORUM_0003,The mobile app won't let me deposit checks via photo. Camera works fine in other apps. Is there a file size limit?,technical_issues,forum_anonymized,114,114,[],0,28.6,microsoft_presidio_2.2.33,0.0,50
FORUM_0004,"Getting 'insufficient funds' error but my balance shows €2,500. Trying to transfer €100. What's going on?",technical_issues,forum_anonymized,105,105,[],0,20.8,microsoft_presidio_2.2.33,0.095,50
FORUM_0005,Two-factor authentication isn't sending me SMS codes. Tried resending 5 times over 2 hours. Phone number is correct in my profile.,technical_issues,forum_anonymized,130,130,[],0,27.3,microsoft_presidio_2.2.33,0.02364712141640124,50
FORUM_0006,Card declined at ATM but online banking shows it's active. Tried 3 different ATMs. Card isn't expired or damaged.,technical_issues,forum_anonymized,113,113,[],0,24.7,microsoft_presidio_2.2.33,0.017669948742291136,50
FORUM_0007,Cannot download statements older than 90 days. Website says they're available for 7 years. How do I access them?,technical_issues,forum_anonymized,112,112,[],0,24.7,microsoft_presidio_2.2.33,0.095,50
FORUM_0008,Automatic bill payment failed but money was still deducted. Now showing as 'pending' for 5 days. Will it be returned?,technical_issues,forum_anonymized,117,117,[],0,26.0,microsoft_presidio_2.2.33,0.0,50
FORUM_0009,Touch ID stopped working for the app after iOS update. Face ID works for other apps. How do I fix this?,technical_issues,forum_anonymized,103,103,[],0,27.3,microsoft_presidio_2.2.33,0.0,50
FORUM_0010,Transaction shows twice in pending but I only made one purchase. Will one be reversed automatically?,technical_issues,forum_anonymized,100,100,[],0,20.8,microsoft_presidio_2.2.33,0.0,50
FORUM_0011,Can't add beneficiary for international transfer. Form keeps saying 'invalid SWIFT code' but I've triple-checked it.,technical_issues,forum_anonymized,116,116,[],0,20.8,microsoft_presidio_2.2.33,0.07186379748036034,50
FORUM_0012,Standing order disappeared from my scheduled payments list but money is still being sent. How do I cancel it?,technical_issues,forum_anonymized,109,109,[],0,24.7,microsoft_presidio_2.2.33,0.000535528810336236,50
FORUM_0013,Mobile deposit says 'check already deposited' but I never deposited it before. Check is from my employer.,technical_issues,forum_anonymized,105,105,[],0,22.1,microsoft_presidio_2.2.33,0.0,50
FORUM_0014,Currency conversion rate shown at checkout differs from rate charged. Who do I contact about this discrepancy?,technical_issues,forum_anonymized,110,110,[],0,22.1,microsoft_presidio_2.2.33,0.0,50
FORUM_0015,"Fingerprint authentication works on my old phone but not after device upgrade. Same account, same settings.",technical_issues,forum_anonymized,107,107,[],0,20.8,microsoft_presidio_2.2.33,0.014988443777952318,50
FORUM_0016,Opened a joint account 3 weeks ago but second account holder still can't access online banking. Verification was completed.,account_management,forum_anonymized,123,123,[],0,24.7,microsoft_presidio_2.2.33,0.004494148060321668,50
FORUM_0017,Want to convert my individual account to business account. What documents are needed and will my account number change?,account_management,forum_anonymized,119,119,[],0,24.7,microsoft_presidio_2.2.33,0.07204406220406967,50
FORUM_0018,Closed my savings account last month but still receiving interest notifications. Is the account actually closed?,account_management,forum_anonymized,112,112,[],0,20.8,microsoft_presidio_2.2.33,0.008926568387590872,50
FORUM_0019,"Added my teenager as authorized user but they can't get a debit card. Age is 16, which should be allowed per your website.",account_management,forum_anonymized,122,122,[],0,29.900000000000002,microsoft_presidio_2.2.33,0.030943045667782665,50
FORUM_0020,Changed my address 6 weeks ago through online banking but still receiving statements at old address. Updated everywhere?,account_management,forum_anonymized,120,120,[],0,23.400000000000002,microsoft_presidio_2.2.33,0.0506498759678061,50
FORUM_0021,My dormant account was reactivated but old transactions from 2019 are missing from history. Can these be recovered?,account_management,forum_anonymized,115,115,[],0,23.400000000000002,microsoft_presidio_2.2.33,0.03058192518328079,50
FORUM_0022,Upgraded from basic to premium account but features like travel insurance haven't activated. Customer service says 'wait 48 hours' but it's been a week.,account_management,forum_anonymized,152,152,[],0,31.200000000000003,microsoft_presidio_2.2.33,0.01981393949882268,50
FORUM_0023,"Beneficiary I added last year no longer appears in my saved list. Made payments to them before, now have to re-add?",account_management,forum_anonymized,115,115,[],0,27.3,microsoft_presidio_2.2.33,0.0,50
FORUM_0024,"Account shows 'restricted' status online but no explanation. Last transaction was 4 days ago, nothing unusual. What triggers this?",account_management,forum_anonymized,130,130,[],0,24.7,microsoft_presidio_2.2.33,0.0,50
FORUM_0025,"Requested account closure 10 days ago, got confirmation email, but account still shows as active with full balance.",account_management,forum_anonymized,115,115,[],0,23.400000000000002,microsoft_presidio_2.2.33,0.095,50
FORUM_0026,Joint account holder passed away. What documents needed to remove them and continue using account solo?,account_management,forum_anonymized,103,103,[],0,20.8,microsoft_presidio_2.2.33,0.0,50
FORUM_0027,Foreign currency sub-account was opened automatically but I never requested it. Can't close it through the app.,account_management,forum_anonymized,111,111,[],0,22.1,microsoft_presidio_2.2.33,0.0,50
FORUM_0028,"Overdraft limit was reduced from €1,000 to €500 with no notification. Credit score hasn't changed. Why?",account_management,forum_anonymized,103,103,[],0,20.8,microsoft_presidio_2.2.33,0.0,50
FORUM_0029,Merged two savings accounts into one but transaction history only shows last 30 days. Lost 2 years of records?,account_management,forum_anonymized,110,110,[],0,24.7,microsoft_presidio_2.2.33,0.03474943663474599,50
FORUM_0030,Account nickname I set keeps reverting to default name. Changed it 3 times already. Is there a character limit?,account_management,forum_anonymized,111,111,[],0,24.7,microsoft_presidio_2.2.33,0.010372603136689106,50
FORUM_0031,Paper statement delivery takes 15+ days but website promises 5-7 business days. This has happened 3 months in a row.,account_management,forum_anonymized,116,116,[],0,26.0,microsoft_presidio_2.2.33,0.095,50
FORUM_0032,Can I have multiple current accounts under same customer profile or do I need separate logins?,account_management,forum_anonymized,94,94,[],0,20.8,microsoft_presidio_2.2.33,0.022973178669381783,50
FORUM_0033,"Savings account interest rate was 2.5% when I opened it, now it's 1.8%. Was I supposed to be notified of changes?",account_management,forum_anonymized,113,113,[],0,27.3,microsoft_presidio_2.2.33,0.095,50
FORUM_0034,Child's savings account (they're now 18) needs to be converted to adult account. Can they do this themselves online?,account_management,forum_anonymized,116,116,[],0,24.7,microsoft_presidio_2.2.33,0.047311576397937066,50
FORUM_0035,Account statements show transactions in chronological order online but downloaded PDF shows them randomly sorted.,account_management,forum_anonymized,113,113,[],0,19.5,microsoft_presidio_2.2.33,0.08785343772083536,50
FORUM_0036,"Sent international wire transfer 7 business days ago, money hasn't arrived. Tracking number shows 'in transit'. Is this normal?",payment_issues,forum_anonymized,127,127,[],0,24.7,microsoft_presidio_2.2.33,0.095,50
FORUM_0037,Direct debit was rejected due to 'account number mismatch' but I've been using same details for 2 years. Nothing changed.,payment_issues,forum_anonymized,121,121,[],0,26.0,microsoft_presidio_2.2.33,0.095,50
FORUM_0038,Received payment from someone I don't know. Amount is €500. Do I need to report this or will it be automatically reversed?,payment_issues,forum_anonymized,122,122,[],0,28.6,microsoft_presidio_2.2.33,0.011851975236424603,50
FORUM_0039,Regular payment to utility company failed 3 months in a row. Each time different error code. Account has sufficient funds.,payment_issues,forum_anonymized,122,122,[],0,26.0,microsoft_presidio_2.2.33,0.03617069003107773,50
FORUM_0040,Set up recurring payment to charity but first payment went through twice. Will subsequent payments also double?,payment_issues,forum_anonymized,111,111,[],0,22.1,microsoft_presidio_2.2.33,0.007735214525676201,50
FORUM_0041,SEPA transfer to another EU country taking 5+ days. Website says 1-2 business days. Bank holidays involved?,payment_issues,forum_anonymized,107,107,[],0,22.1,microsoft_presidio_2.2.33,0.095,50
FORUM_0042,Cancelled a pending transaction but money still left my account. How long until it's refunded?,payment_issues,forum_anonymized,94,94,[],0,19.5,microsoft_presidio_2.2.33,0.0,50
FORUM_0043,Payment reference/memo field was truncated in recipient's statement. How many characters are allowed?,payment_issues,forum_anonymized,101,101,[],0,16.900000000000002,microsoft_presidio_2.2.33,0.07278982756515469,50
FORUM_0044,Scheduled future payment for next month but it went through immediately. Can't find option to reverse it.,payment_issues,forum_anonymized,105,105,[],0,22.1,microsoft_presidio_2.2.33,0.0,50
FORUM_0045,Received notification of incoming payment but nothing shows in my account after 48 hours.,payment_issues,forum_anonymized,89,89,[],0,18.2,microsoft_presidio_2.2.33,0.0,50
