query_id,query_text,category,complexity,source,overlap_type,original_length,anonymized_length,pii_entities_detected,pii_count,token_count,anonymization_stages,structure_preserved
PB_0001,What is the current balance on my savings account?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,50,50,[],0,11.700000000000001,multi_stage_presidio,True
PB_0002,Can you show me my recent transactions for the last 30 days?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,60,60,[],0,15.600000000000001,multi_stage_presidio,True
PB_0003,I need to transfer 500 EUR to another account. How do I do that?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,64,64,[],0,18.2,multi_stage_presidio,True
PB_0004,What are the interest rates for your savings accounts?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,54,54,[],0,11.700000000000001,multi_stage_presidio,True
PB_0005,How can I update my contact information?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,40,40,[],0,9.1,multi_stage_presidio,True
PB_0006,How does NordicBank comply with GDPR Article 5 regarding data minimization?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,75,75,[],0,14.3,multi_stage_presidio,True
PB_0007,Can I request a copy of all personal data you hold about me under GDPR Article 15?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,82,82,[],0,22.1,multi_stage_presidio,True
PB_0008,What is your process for deleting my data under the right to erasure?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,69,69,[],0,16.900000000000002,multi_stage_presidio,True
PB_0009,How long do you retain my transaction data according to GDPR?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,61,61,[],0,14.3,multi_stage_presidio,True
PB_0010,Who is your Customer_[REDACTED_ADDRESS_1001]and how can I contact them?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,63,71,"['PERSON', 'ADDRESS']",2,11.700000000000001,multi_stage_presidio,True
PB_0011,What documents do I need to open a new account?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,47,47,[],0,13.0,multi_stage_presidio,True
PB_0012,How do I set up a standing order for monthly payments?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,54,54,[],0,14.3,multi_stage_presidio,True
PB_0013,What are your fees for international wire transfers?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,52,52,[],0,10.4,multi_stage_presidio,True
PB_0014,Can I increase my overdraft limit?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,34,34,[],0,7.800000000000001,multi_stage_presidio,True
PB_0015,How do I report a lost or stolen debit card?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,44,44,[],0,13.0,multi_stage_presidio,True
PB_0016,I want to close my account. What is the procedure?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,50,50,[],0,13.0,multi_stage_presidio,True
PB_0017,Can I have multiple savings accounts under one profile?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,55,55,[],0,11.700000000000001,multi_stage_presidio,True
PB_0018,How do I add a joint account holder?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,36,36,[],0,10.4,multi_stage_presidio,True
PB_0019,What happens to my account if I move abroad?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,44,44,[],0,11.700000000000001,multi_stage_presidio,True
PB_0020,Can I change my account type from basic to premium?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,51,51,[],0,13.0,multi_stage_presidio,True
PB_0021,How do I reset my online banking password?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,42,42,[],0,10.4,multi_stage_presidio,True
PB_0022,What security measures does NordicBank use to protect my account?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,65,65,[],0,13.0,multi_stage_presidio,True
PB_0023,Can I set up two-factor authentication?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,39,39,[],0,7.800000000000001,multi_stage_presidio,True
PB_0024,How do I know if an email from the bank is legitimate?,consistency_validation,standard,nordicbank_phrasebank,intentional_20pct,54,54,[],0,15.600000000000001,multi_stage_presidio,True
